date,precipitation,precipitation_normal
19280815,0.00,26.14
19280816,0.00,26.16
19280817,0.00,26.18
19280818,0.00,26.19
19280819,0.00,26.21
19280820,0.00,26.23
19280821,0.00,26.25
19280822,0.00,26.27
19280823,0.00,26.29
19280824,0.00,26.31
19280825,0.00,26.33
19280826,0.00,26.35
19280827,0.00,26.37
19280828,0.00,26.39
19280829,0.00,26.41
19280830,0.00,26.44
19280831,0.00,26.46
19280901,0.00,26.49
19280902,0.00,26.52
19280903,0.00,26.55
19280904,0.00,26.59
19280905,0.00,26.63
19280906,0.00,26.67
19280907,0.00,26.71
19280908,0.00,26.75
19280909,0.00,26.79
19280910,0.00,26.83
19280911,0.00,26.88
19280912,0.00,26.92
19280913,0.00,26.97
19280914,0.00,27.02
19280915,0.00,27.07
19280916,0.00,27.13
19280917,0.00,27.19
19280918,0.00,27.24
19280919,0.00,27.31
19280920,0.00,27.37
19280921,0.00,27.43
19280922,0.00,27.49
19280923,0.00,27.55
19280924,0.00,27.62
19280925,0.00,27.68
19280926,0.00,27.75
19280927,0.00,27.82
19280928,0.00,27.90
19280929,0.00,27.98
19280930,0.00,28.06
19281001,0.00,28.14
19281002,0.00,28.21
19281003,0.00,28.29
19281004,0.00,28.37
19281005,0.00,28.45
19281006,0.00,28.54
19281007,0.00,28.63
19281008,0.00,28.73
19281009,0.00,28.83
19281010,0.00,28.94
19281011,0.00,29.04
19281012,0.00,29.16
19281013,0.00,29.28
19281014,0.00,29.39
19281015,0.00,29.51
19281016,0.00,29.63
19281017,0.00,29.76
19281018,0.00,29.89
19281019,0.00,30.02
19281020,0.00,30.15
19281021,0.00,30.28
19281022,0.00,30.42
19281023,0.00,30.56
19281024,0.00,30.72
19281025,0.00,30.88
19281026,0.00,31.04
19281027,0.00,31.20
19281028,0.00,31.37
19281029,0.00,31.53
19281030,0.00,31.70
19281031,0.00,31.86
19281101,0.00,32.03
19281102,0.00,32.20
19281103,0.00,32.38
19281104,0.00,32.56
19281105,0.00,32.75
19281106,0.00,32.93
19281107,0.00,33.13
19281108,0.00,33.34
19281109,0.00,33.54
19281110,0.00,33.75
19281111,0.00,33.97
19281112,0.00,34.18
19281113,0.00,34.42
19281114,0.00,34.65
19281115,0.00,34.88
19281116,0.00,35.13
19281117,0.00,35.39
19281118,0.00,35.66
19281119,0.00,35.92
19281120,0.00,36.19
19281121,0.00,36.45
19281122,0.00,36.71
19281123,0.00,36.97
19281124,0.00,37.24
19281125,0.00,37.52
19281126,0.00,37.81
19281127,0.00,38.11
19281128,0.00,38.42
19281129,0.00,38.73
