date,min,max,normal_min,normal_max
19280815,45.0,78.0,52.2,83.3
19280816,,,52.2,83.2
19280817,,,52.1,83.0
19280818,,,52.1,82.9
19280819,,,52.0,82.8
19280820,,,51.9,82.6
19280821,,,51.9,82.5
19280822,,,51.8,82.4
19280823,,,51.7,82.2
19280824,,,51.7,82.1
19280825,,,51.6,82.0
19280826,,,51.5,81.8
19280827,,,51.4,81.7
19280828,,,51.3,81.6
19280829,,,51.3,81.4
19280830,,,51.2,81.3
19280831,,,51.1,81.2
19280901,,,51.0,81.0
19280902,,,50.9,80.9
19280903,,,50.8,80.7
19280904,,,50.7,80.6
19280905,,,50.6,80.4
19280906,,,50.5,80.2
19280907,,,50.4,80.0
19280908,,,50.2,79.9
19280909,,,50.1,79.7
19280910,,,50.0,79.4
19280911,,,49.9,79.2
19280912,,,49.7,79.0
19280913,,,49.6,78.8
19280914,,,49.5,78.5
19280915,,,49.3,78.2
19280916,,,49.2,77.9
19280917,,,49.0,77.6
19280918,,,48.9,77.3
19280919,,,48.7,77.0
19280920,,,48.5,76.7
19280921,,,48.4,76.3
19280922,,,48.2,75.9
19280923,,,48.0,75.6
19280924,,,47.8,75.2
19280925,,,47.7,74.8
19280926,,,47.5,74.3
19280927,,,47.3,73.9
19280928,,,47.1,73.4
19280929,,,46.9,73.0
19280930,,,46.7,72.5
19281001,,,46.6,72.0
19281002,,,46.4,71.6
19281003,,,46.2,71.1
19281004,,,46.0,70.6
19281005,,,45.8,70.0
19281006,,,45.6,69.5
19281007,,,45.4,69.0
19281008,,,45.2,68.5
19281009,,,45.0,68.0
19281010,,,44.9,67.5
19281011,,,44.7,66.9
19281012,,,44.5,66.4
19281013,,,44.3,65.9
19281014,,,44.1,65.4
19281015,,,43.9,64.9
19281016,,,43.8,64.3
19281017,,,43.6,63.8
19281018,,,43.4,63.3
19281019,,,43.2,62.8
19281020,,,43.1,62.3
19281021,,,42.9,61.9
19281022,,,42.7,61.4
19281023,,,42.5,60.9
19281024,,,42.4,60.5
19281025,,,42.2,60.0
19281026,,,42.0,59.6
