date,min,max,normal_min,normal_max
18930101,35.0,43.0,32.3,43.2
18930102,34.0,40.0,32.3,43.3
18930103,33.0,37.0,32.3,43.4
18930104,29.0,36.0,32.3,43.5
18930105,28.0,35.0,32.4,43.6
18930106,29.0,39.0,32.4,43.7
18930107,27.0,41.0,32.4,43.8
18930108,25.0,50.0,32.5,43.9
18930109,26.0,36.0,32.5,44.0
18930110,31.0,49.0,32.5,44.1
18930111,25.0,46.0,32.6,44.3
18930112,25.0,37.0,32.6,44.4
18930113,28.0,41.0,32.6,44.5
18930114,25.0,40.0,32.6,44.7
18930115,25.0,38.0,32.7,44.8
18930116,20.0,41.0,32.7,44.9
18930117,17.0,34.0,32.7,45.1
18930118,18.0,37.0,32.7,45.2
18930119,16.0,37.0,32.7,45.3
18930120,17.0,38.0,32.7,45.5
18930121,24.0,39.0,32.7,45.6
18930122,26.0,45.0,32.7,45.8
18930123,18.0,44.0,32.7,45.9
18930124,19.0,40.0,32.7,46.1
18930125,24.0,37.0,32.7,46.2
18930126,19.0,25.0,32.7,46.3
18930127,19.0,28.0,32.7,46.5
18930128,20.0,28.0,32.7,46.6
18930129,21.0,33.0,32.7,46.8
18930130,24.0,32.0,32.7,46.9
18930131,12.0,28.0,32.7,47.1
18930201,22.0,30.0,32.7,47.2
18930202,22.0,34.0,32.7,47.4
18930203,24.0,34.0,32.7,47.5
18930204,28.0,45.0,32.7,47.7
18930205,30.0,34.0,32.7,47.8
18930206,28.0,34.0,32.7,48.0
18930207,28.0,34.0,32.7,48.1
18930208,28.0,34.0,32.7,48.3
18930209,32.0,36.0,32.8,48.4
18930210,33.0,39.0,32.8,48.6
18930211,32.0,40.0,32.8,48.7
18930212,28.0,40.0,32.8,48.9
18930213,26.0,43.0,32.9,49.1
18930214,24.0,38.0,32.9,49.2
18930215,26.0,40.0,33.0,49.4
18930216,28.0,42.0,33.0,49.6
18930217,27.0,44.0,33.1,49.8
18930218,29.0,46.0,33.1,49.9
18930219,28.0,46.0,33.2,50.1
18930220,30.0,46.0,33.3,50.3
18930221,35.0,48.0,33.3,50.5
18930222,36.0,51.0,33.4,50.7
18930223,36.0,56.0,33.5,50.9
18930224,34.0,54.0,33.6,51.1
18930225,36.0,46.0,33.7,51.3
18930226,27.0,42.0,33.8,51.4
18930227,29.0,41.0,33.9,51.6
18930228,29.0,46.0,34.0,51.8
18930301,28.0,43.0,34.2,52.0
18930302,25.0,52.0,34.3,52.2
18930303,33.0,52.0,34.4,52.4
18930304,33.0,56.0,34.5,52.6
18930305,27.0,62.0,34.6,52.8
