date,precipitation,precipitation_normal
19280101,0.00,0.06
19280102,0.00,0.12
19280103,0.00,0.18
19280104,0.00,0.24
19280105,0.00,0.30
19280106,0.00,0.36
19280107,0.00,0.42
19280108,0.00,0.48
19280109,0.00,0.55
19280110,0.00,0.61
19280111,0.00,0.67
19280112,0.00,0.73
19280113,0.00,0.79
19280114,0.47,0.84
19280115,1.07,0.89
19280116,1.07,0.94
19280117,1.07,1.00
19280118,1.07,1.05
19280119,1.31,1.10
19280120,1.31,1.16
19280121,1.31,1.21
19280122,1.49,1.27
19280123,1.49,1.32
19280124,1.79,1.38
19280125,1.89,1.43
19280126,1.89,1.49
19280127,1.89,1.54
19280128,2.11,1.59
19280129,2.11,1.64
19280130,2.11,1.70
19280131,2.11,1.75
19280201,2.11,1.81
19280202,2.11,1.87
19280203,2.11,1.92
19280204,2.11,1.98
19280205,2.16,2.04
19280206,2.16,2.09
19280207,2.18,2.15
19280208,2.18,2.21
19280209,2.18,2.26
19280210,2.18,2.32
19280211,2.18,2.37
19280212,2.18,2.43
19280213,2.18,2.48
19280214,2.18,2.54
19280215,2.18,2.59
19280216,2.18,2.64
19280217,2.18,2.69
19280218,2.18,2.74
19280219,2.18,2.80
19280220,2.18,2.85
19280221,2.18,2.90
19280222,2.18,2.95
19280223,2.18,3.01
19280224,2.38,3.06
19280225,2.38,3.11
19280226,2.38,3.16
19280227,2.38,3.22
19280228,2.38,3.27
19280229,2.38,3.27
19280301,2.38,3.32
19280302,2.38,3.38
19280303,2.38,3.43
19280304,2.38,3.48
19280305,2.38,3.53
19280306,2.38,3.59
19280307,2.38,3.64
19280308,2.38,3.69
19280309,2.38,3.75
19280310,2.38,3.80
19280311,2.38,3.86
19280312,2.38,3.91
19280313,2.38,3.97
19280314,2.38,4.02
19280315,2.38,4.08
19280316,2.38,4.14
19280317,2.38,4.19
19280318,2.38,4.25
19280319,2.38,4.30
19280320,2.38,4.36
19280321,2.38,4.41
19280322,2.38,4.47
19280323,2.38,4.52
19280324,2.38,4.58
19280325,2.38,4.63
19280326,2.38,4.69
19280327,2.88,4.75
19280328,3.58,4.80
19280329,3.58,4.86
19280330,3.69,4.92
19280331,3.90,4.97
19280401,3.96,5.02
19280402,3.96,5.08
19280403,4.38,5.14
19280404,4.38,5.19
19280405,4.41,5.25
19280406,4.41,5.30
19280407,4.41,5.35
19280408,4.41,5.40
19280409,4.41,5.46
19280410,4.41,5.51
19280411,4.41,5.56
19280412,4.58,5.61
19280413,4.58,5.67
19280414,4.58,5.73
19280415,4.58,5.78
19280416,4.58,5.84
19280417,4.76,5.89
19280418,4.76,5.95
19280419,4.76,6.00
19280420,4.76,6.06
19280421,4.76,6.11
19280422,4.76,6.17
19280423,4.76,6.23
19280424,4.76,6.28
19280425,4.76,6.33
19280426,4.76,6.38
19280427,4.76,6.44
19280428,4.76,6.49
19280429,4.76,6.54
19280430,4.96,6.59
19280501,4.96,6.64
19280502,4.96,6.69
19280503,4.96,6.74
19280504,4.96,6.79
19280505,4.96,6.85
19280506,4.96,6.91
19280507,4.96,6.97
19280508,4.96,7.03
19280509,4.96,7.09
19280510,4.96,7.15
19280511,4.96,7.20
19280512,4.96,7.26
19280513,4.96,7.31
19280514,4.96,7.37
19280515,4.96,7.42
19280516,4.96,7.47
19280517,4.96,7.53
19280518,4.96,7.58
19280519,4.96,7.64
19280520,4.96,7.69
19280521,4.96,7.75
19280522,4.96,7.81
19280523,4.96,7.87
19280524,4.96,7.93
19280525,4.96,7.99
19280526,4.96,8.05
19280527,4.99,8.12
19280528,4.99,8.18
