date,min,max,normal_min,normal_max
19280101,3.0,13.0,29.3,43.0
19280102,9.0,20.0,29.3,43.0
19280103,15.0,29.0,29.4,43.1
19280104,22.0,35.0,29.4,43.2
19280105,21.0,48.0,29.5,43.3
19280106,26.0,49.0,29.5,43.3
19280107,25.0,50.0,29.6,43.4
19280108,26.0,37.0,29.7,43.5
19280109,22.0,32.0,29.8,43.6
19280110,23.0,35.0,29.8,43.7
19280111,26.0,53.0,29.9,43.8
19280112,38.0,54.0,30.0,43.8
19280113,36.0,48.0,30.1,43.9
19280114,27.0,38.0,30.2,44.0
19280115,16.0,36.0,30.2,44.1
19280116,16.0,34.0,30.3,44.2
19280117,12.0,33.0,30.4,44.3
19280118,13.0,33.0,30.5,44.3
19280119,25.0,32.0,30.6,44.4
19280120,23.0,32.0,30.6,44.5
19280121,23.0,28.0,30.7,44.6
19280122,18.0,32.0,30.8,44.7
19280123,22.0,34.0,30.8,44.8
19280124,25.0,31.0,30.9,44.9
19280125,26.0,32.0,31.0,45.0
19280126,25.0,34.0,31.0,45.1
19280127,27.0,31.0,31.1,45.1
19280128,26.0,35.0,31.1,45.3
19280129,29.0,36.0,31.2,45.4
19280130,31.0,43.0,31.3,45.5
19280131,29.0,36.0,31.3,45.6
19280201,29.0,34.0,31.4,45.7
19280202,28.0,32.0,31.4,45.8
19280203,28.0,37.0,31.5,46.0
19280204,27.0,39.0,31.6,46.1
19280205,29.0,43.0,31.6,46.3
19280206,34.0,52.0,31.7,46.5
19280207,38.0,47.0,31.8,46.6
19280208,32.0,49.0,31.9,46.8
19280209,25.0,42.0,32.0,47.0
19280210,25.0,43.0,32.1,47.2
19280211,29.0,49.0,32.2,47.4
19280212,29.0,47.0,32.3,47.7
19280213,28.0,42.0,32.4,47.9
19280214,31.0,44.0,32.5,48.2
19280215,26.0,42.0,32.6,48.4
19280216,27.0,49.0,32.8,48.7
19280217,25.0,47.0,32.9,49.0
19280218,29.0,54.0,33.1,49.3
19280219,27.0,48.0,33.2,49.6
19280220,27.0,50.0,33.4,49.9
19280221,32.0,48.0,33.6,50.2
19280222,32.0,45.0,33.8,50.5
19280223,20.0,35.0,33.9,50.8
19280224,27.0,37.0,34.1,51.2
19280225,26.0,46.0,34.4,51.5
19280226,26.0,38.0,34.6,51.8
19280227,28.0,42.0,34.8,52.2
19280228,32.0,46.0,35.0,52.5
19280229,,,35.1,52.7
19280301,,,35.2,52.9
19280302,24.0,50.0,35.5,53.2
19280303,,,35.7,53.6
19280304,,,36.0,53.9
19280305,44.0,63.0,36.2,54.3
19280306,42.0,64.0,36.5,54.6
19280307,46.0,63.0,36.7,55.0
19280308,45.0,59.0,37.0,55.3
19280309,42.0,54.0,37.2,55.7
19280310,42.0,54.0,37.5,56.0
19280311,42.0,54.0,37.7,56.3
19280312,34.0,52.0,38.0,56.6
19280313,37.0,50.0,38.2,56.9
19280314,30.0,52.0,38.4,57.2
19280315,31.0,53.0,38.7,57.5
19280316,39.0,57.0,38.9,57.8
19280317,34.0,60.0,39.1,58.1
19280318,34.0,65.0,39.3,58.3
19280319,33.0,68.0,39.5,58.6
19280320,46.0,71.0,39.7,58.8
19280321,45.0,63.0,39.9,59.1
19280322,47.0,63.0,40.1,59.3
19280323,44.0,64.0,40.3,59.5
19280324,43.0,62.0,40.5,59.8
19280325,36.0,60.0,40.7,60.0
19280326,41.0,57.0,40.8,60.2
19280327,34.0,55.0,41.0,60.4
19280328,38.0,53.0,41.1,60.6
19280329,39.0,57.0,41.3,60.8
19280330,43.0,62.0,41.4,61.0
19280331,42.0,53.0,41.5,61.2
19280401,36.0,54.0,41.7,61.3
19280402,32.0,54.0,41.8,61.5
19280403,35.0,51.0,41.9,61.7
19280404,33.0,51.0,42.0,61.9
19280405,38.0,55.0,42.2,62.1
19280406,30.0,55.0,42.3,62.3
19280407,30.0,56.0,42.4,62.5
19280408,27.0,63.0,42.5,62.7
19280409,39.0,60.0,42.6,62.9
19280410,38.0,58.0,42.8,63.1
19280411,37.0,57.0,42.9,63.4
19280412,43.0,60.0,43.0,63.6
19280413,41.0,63.0,43.1,63.8
19280414,42.0,62.0,43.3,64.1
19280415,43.0,65.0,43.4,64.3
19280416,43.0,69.0,43.6,64.6
19280417,34.0,59.0,43.7,64.8
19280418,35.0,58.0,43.9,65.1
19280419,38.0,60.0,44.1,65.4
19280420,36.0,57.0,44.2,65.7
19280421,35.0,64.0,44.4,66.0
19280422,44.0,72.0,44.6,66.3
19280423,43.0,73.0,44.8,66.6
19280424,47.0,68.0,45.0,66.9
