date,precipitation,precipitation_normal
19630401,0.05,10.45
19630402,0.05,10.53
19630403,0.05,10.62
19630404,0.05,10.70
19630405,0.39,10.78
19630406,0.75,10.86
19630407,0.88,10.94
19630408,0.90,11.02
19630409,1.02,11.09
19630410,1.28,11.17
19630411,1.28,11.24
19630412,1.44,11.31
19630413,1.50,11.38
19630414,1.73,11.45
19630415,2.31,11.51
19630416,2.31,11.58
19630417,2.36,11.65
19630418,2.61,11.72
19630419,2.76,11.79
19630420,2.76,11.86
19630421,2.83,11.93
19630422,2.83,12.00
19630423,2.83,12.07
19630424,2.83,12.13
19630425,3.05,12.20
19630426,3.34,12.26
19630427,3.34,12.32
19630428,3.34,12.38
19630429,3.34,12.44
19630430,3.34,12.50
19630501,3.34,12.56
19630502,3.54,12.61
19630503,3.80,12.67
19630504,3.81,12.72
19630505,4.13,12.78
19630506,4.26,12.83
19630507,4.83,12.89
19630508,4.85,12.94
19630509,4.85,12.99
19630510,4.94,13.04
19630511,5.72,13.09
19630512,5.74,13.14
19630513,5.74,13.18
19630514,5.74,13.23
19630515,5.74,13.28
19630516,5.74,13.32
19630517,5.74,13.37
19630518,5.74,13.42
19630519,5.74,13.46
19630520,5.74,13.50
19630521,5.89,13.54
19630522,5.90,13.58
19630523,5.90,13.62
19630524,5.90,13.66
19630525,5.90,13.70
19630526,5.90,13.74
19630527,5.90,13.77
19630528,5.90,13.81
19630529,5.90,13.85
19630530,5.90,13.88
19630531,5.90,13.92
19630601,5.90,13.96
19630602,5.90,14.01
19630603,5.90,14.05
19630604,5.90,14.08
19630605,6.02,14.12
19630606,6.02,14.15
19630607,6.02,14.19
19630608,6.02,14.22
19630609,6.02,14.25
19630610,6.02,14.28
19630611,6.02,14.31
19630612,6.02,14.34
19630613,6.02,14.36
19630614,6.02,14.38
19630615,6.02,14.40
19630616,6.02,14.42
19630617,6.02,14.44
19630618,6.02,14.46
19630619,6.02,14.48
19630620,6.02,14.49
19630621,6.44,14.50
19630622,6.44,14.52
19630623,6.44,14.53
19630624,6.44,14.54
19630625,6.44,14.56
19630626,6.44,14.57
19630627,6.44,14.59
19630628,6.66,14.60
19630629,6.71,14.61
19630630,6.71,14.62
19630701,6.71,14.63
19630702,6.71,14.65
19630703,6.71,14.66
19630704,6.71,14.67
19630705,6.71,14.69
19630706,6.71,14.70
19630707,6.74,14.71
19630708,6.74,14.73
19630709,6.74,14.74
19630710,6.74,14.76
19630711,6.74,14.78
19630712,6.74,14.79
19630713,6.74,14.81
19630714,6.74,14.83
19630715,6.74,14.84
19630716,6.74,14.86
19630717,6.74,14.87
19630718,6.74,14.89
19630719,6.74,14.91
19630720,6.74,14.93
19630721,6.74,14.95
19630722,6.74,14.97
19630723,6.74,14.98
19630724,6.74,15.00
19630725,6.74,15.02
19630726,6.74,15.04
19630727,6.74,15.06
19630728,6.74,15.08
19630729,6.74,15.10
19630730,6.74,15.12
19630731,6.74,15.14
19630801,6.74,15.15
19630802,6.74,15.17
19630803,6.74,15.18
19630804,6.74,15.19
19630805,6.74,15.21
19630806,6.74,15.22
19630807,6.74,15.23
19630808,6.74,15.25
19630809,6.74,15.26
19630810,6.74,15.27
19630811,6.74,15.29
19630812,6.74,15.30
19630813,6.74,15.32
19630814,6.74,15.33
19630815,6.74,15.34
19630816,6.74,15.36
19630817,6.74,15.37
19630818,6.74,15.38
19630819,6.74,15.40
19630820,6.74,15.41
19630821,6.74,15.43
19630822,6.74,15.44
19630823,6.74,15.45
19630824,6.74,15.46
19630825,6.74,15.47
19630826,6.74,15.48
19630827,6.74,15.50
19630828,6.74,15.51
19630829,6.74,15.52
19630830,6.74,15.53
19630831,6.74,15.54
19630901,6.74,15.56
19630902,6.74,15.57
19630903,6.74,15.58
19630904,6.74,15.60
19630905,6.74,15.61
19630906,6.74,15.62
19630907,6.74,15.64
19630908,6.74,15.65
19630909,6.74,15.66
19630910,6.74,15.67
19630911,6.74,15.68
19630912,6.78,15.69
19630913,7.27,15.70
19630914,7.27,15.71
19630915,7.27,15.73
19630916,7.27,15.74
19630917,7.27,15.76
19630918,7.27,15.79
19630919,7.27,15.81
19630920,7.27,15.83
19630921,7.27,15.86
19630922,7.27,15.88
19630923,7.27,15.90
19630924,7.27,15.93
19630925,7.27,15.96
19630926,7.27,15.99
19630927,7.27,16.02
19630928,7.27,16.05
19630929,7.27,16.09
19630930,7.27,16.12
19631001,7.27,16.17
19631002,7.27,16.21
19631003,7.27,16.26
19631004,7.27,16.31
19631005,7.32,16.36
19631006,7.32,16.42
19631007,7.34,16.47
19631008,7.34,16.52
19631009,7.45,16.59
19631010,7.45,16.65
19631011,7.54,16.71
19631012,7.54,16.77
19631013,7.54,16.84
19631014,7.54,16.90
19631015,7.57,16.97
19631016,7.57,17.03
19631017,7.57,17.10
