date,min,max,normal_min,normal_max
19630401,33.0,50.0,34.4,61.9
19630402,28.0,55.0,34.5,62.0
19630403,43.0,63.0,34.6,62.2
19630404,42.0,68.0,34.7,62.3
19630405,48.0,63.0,34.8,62.5
19630406,41.0,59.0,34.9,62.7
19630407,35.0,55.0,35.0,62.9
19630408,31.0,56.0,35.1,63.1
19630409,39.0,52.0,35.3,63.3
19630410,33.0,53.0,35.4,63.5
19630411,29.0,58.0,35.5,63.8
19630412,39.0,56.0,35.6,64.0
19630413,38.0,62.0,35.8,64.3
19630414,45.0,61.0,35.9,64.6
19630415,33.0,50.0,36.0,64.9
19630416,24.0,45.0,36.2,65.2
19630417,36.0,47.0,36.3,65.5
19630418,35.0,48.0,36.5,65.8
19630419,34.0,46.0,36.7,66.2
19630420,24.0,49.0,36.8,66.5
19630421,33.0,54.0,37.0,66.9
19630422,35.0,61.0,37.2,67.2
19630423,28.0,65.0,37.4,67.6
19630424,34.0,64.0,37.6,67.9
19630425,41.0,56.0,37.8,68.3
19630426,42.0,52.0,38.0,68.7
19630427,36.0,62.0,38.2,69.1
19630428,32.0,76.0,38.4,69.4
19630429,43.0,70.0,38.6,69.8
19630430,39.0,69.0,38.8,70.2
19630501,35.0,60.0,39.0,70.5
19630502,44.0,55.0,39.3,70.9
19630503,40.0,54.0,39.5,71.3
19630504,42.0,68.0,39.7,71.6
19630505,49.0,69.0,39.9,72.0
19630506,50.0,57.0,40.2,72.3
19630507,45.0,59.0,40.4,72.6
19630508,40.0,61.0,40.6,73.0
19630509,32.0,63.0,40.9,73.3
19630510,39.0,59.0,41.1,73.6
19630511,40.0,56.0,41.3,73.9
19630512,42.0,64.0,41.5,74.2
19630513,35.0,72.0,41.7,74.4
19630514,38.0,75.0,41.9,74.7
19630515,46.0,74.0,42.2,75.0
19630516,39.0,82.0,42.4,75.2
19630517,45.0,91.0,42.6,75.5
19630518,,,42.7,75.7
19630519,48.0,92.0,42.9,75.9
19630520,52.0,97.0,43.1,76.1
19630521,55.0,88.0,43.3,76.3
19630522,55.0,74.0,43.5,76.5
19630523,54.0,70.0,43.7,76.7
19630524,39.0,75.0,43.8,76.9
19630525,38.0,80.0,44.0,77.1
19630526,42.0,79.0,44.1,77.3
19630527,41.0,81.0,44.3,77.5
19630528,42.0,86.0,44.4,77.7
19630529,49.0,85.0,44.6,77.9
19630530,47.0,81.0,44.7,78.0
19630531,45.0,78.0,44.9,78.2
19630601,45.0,78.0,45.0,78.4
19630602,52.0,76.0,45.1,78.6
19630603,43.0,67.0,45.3,78.8
19630604,37.0,65.0,45.4,79.0
19630605,46.0,63.0,45.5,79.2
19630606,47.0,62.0,45.7,79.5
19630607,38.0,74.0,45.8,79.7
19630608,45.0,72.0,45.9,79.9
19630609,50.0,73.0,46.1,80.2
19630610,36.0,75.0,46.2,80.4
19630611,46.0,84.0,46.3,80.7
19630612,50.0,88.0,46.5,81.0
19630613,54.0,87.0,46.6,81.3
19630614,51.0,95.0,46.8,81.6
19630615,51.0,97.0,46.9,81.9
19630616,55.0,95.0,47.1,82.2
19630617,51.0,93.0,47.2,82.5
19630618,53.0,91.0,47.4,82.9
19630619,46.0,89.0,47.5,83.2
