date,precipitation,precipitation_normal
19620829,0.00,26.86
19620830,0.00,26.88
19620831,0.00,26.91
19620901,0.00,26.94
19620902,0.00,26.97
19620903,0.00,27.00
19620904,0.00,27.04
19620905,0.00,27.08
19620906,0.00,27.13
19620907,0.00,27.17
19620908,0.00,27.21
19620909,0.00,27.25
19620910,0.06,27.30
19620911,0.84,27.34
19620912,0.84,27.39
19620913,0.97,27.44
19620914,0.97,27.49
19620915,0.97,27.54
19620916,0.97,27.59
19620917,0.97,27.65
19620918,0.97,27.71
19620919,0.97,27.78
19620920,0.97,27.84
19620921,0.97,27.90
19620922,0.97,27.97
19620923,0.97,28.04
19620924,0.97,28.10
19620925,0.97,28.17
19620926,0.97,28.24
19620927,1.08,28.32
19620928,1.67,28.40
19620929,2.19,28.48
19620930,2.19,28.57
19621001,2.19,28.66
19621002,2.19,28.76
19621003,2.64,28.85
19621004,2.68,28.94
19621005,2.68,29.04
19621006,2.77,29.14
19621007,2.77,29.24
19621008,3.97,29.35
19621009,4.53,29.46
19621010,4.91,29.57
19621011,5.27,29.68
19621012,5.77,29.80
19621013,6.28,29.92
19621014,6.51,30.05
19621015,6.63,30.18
19621016,6.63,30.31
19621017,6.63,30.44
19621018,6.63,30.59
19621019,6.63,30.73
19621020,6.63,30.88
19621021,6.63,31.03
19621022,6.63,31.19
19621023,6.63,31.35
19621024,6.63,31.52
19621025,6.63,31.70
19621026,6.63,31.87
19621027,6.63,32.04
19621028,6.63,32.22
19621029,6.63,32.40
19621030,6.63,32.58
19621031,6.63,32.76
19621101,6.63,32.94
19621102,6.63,33.13
19621103,6.63,33.32
19621104,6.63,33.51
19621105,7.09,33.72
19621106,7.52,33.93
19621107,7.52,34.14
19621108,7.96,34.37
19621109,8.32,34.59
19621110,8.35,34.82
19621111,9.05,35.06
19621112,9.14,35.30
19621113,9.44,35.54
19621114,9.64,35.78
19621115,9.83,36.02
19621116,10.31,36.26
19621117,10.37,36.50
19621118,10.52,36.75
19621119,10.52,36.99
19621120,11.96,37.24
19621121,12.71,37.49
19621122,12.82,37.73
19621123,12.82,37.97
19621124,12.82,38.22
19621125,13.35,38.46
19621126,15.92,38.71
19621127,16.35,38.97
19621128,16.35,39.22
19621129,16.35,39.48
19621130,16.73,39.74
19621201,17.05,40.00
19621202,17.35,40.26
19621203,17.80,40.52
19621204,17.80,40.78
19621205,17.80,41.02
19621206,17.91,41.27
19621207,17.91,41.53
19621208,17.91,41.78
19621209,17.91,42.02
19621210,17.91,42.26
19621211,17.91,42.49
19621212,17.91,42.73
19621213,18.00,42.96
19621214,18.34,43.20
19621215,18.88,43.44
19621216,18.94,43.68
19621217,18.94,43.92
19621218,18.94,44.15
19621219,19.01,44.39
19621220,19.01,44.64
19621221,19.01,44.88
19621222,19.01,45.12
19621223,19.01,45.35
19621224,19.01,45.59
19621225,19.01,45.82
19621226,19.01,46.06
19621227,19.01,46.29
19621228,19.01,46.52
19621229,19.01,46.74
19621230,19.61,46.97
19621231,19.76,47.20
19630101,0.00,0.22
19630102,0.43,0.44
19630103,0.64,0.67
19630104,0.64,0.90
19630105,0.64,1.13
19630106,0.64,1.35
19630107,0.64,1.59
19630108,0.64,1.81
19630109,0.64,2.04
19630110,0.64,2.27
19630111,0.64,2.50
