date,min,max,normal_min,normal_max
19620829,47.0,70.0,54.4,78.3
19620830,53.0,80.0,54.3,78.1
19620831,54.0,86.0,54.2,78.0
19620901,51.0,86.0,54.1,77.8
19620902,52.0,83.0,54.0,77.6
19620903,49.0,73.0,53.9,77.5
19620904,51.0,86.0,53.7,77.3
19620905,53.0,89.0,53.6,77.1
19620906,53.0,90.0,53.5,76.9
19620907,51.0,85.0,53.3,76.7
19620908,49.0,72.0,53.2,76.5
19620909,48.0,85.0,53.0,76.3
19620910,54.0,83.0,52.9,76.1
19620911,49.0,59.0,52.7,75.9
19620912,46.0,68.0,52.5,75.6
19620913,50.0,61.0,52.4,75.4
19620914,52.0,72.0,52.2,75.1
19620915,52.0,75.0,52.0,74.8
19620916,48.0,75.0,51.8,74.5
19620917,52.0,79.0,51.6,74.3
19620918,54.0,91.0,51.4,73.9
19620919,57.0,72.0,51.2,73.6
19620920,56.0,69.0,51.0,73.3
19620921,58.0,65.0,50.8,73.0
19620922,57.0,67.0,50.5,72.6
19620923,49.0,71.0,50.3,72.2
19620924,50.0,70.0,50.1,71.9
19620925,51.0,80.0,49.9,71.5
19620926,54.0,74.0,49.6,71.1
19620927,53.0,62.0,49.4,70.7
19620928,52.0,67.0,49.1,70.3
19620929,50.0,62.0,48.9,69.9
19620930,44.0,67.0,48.6,69.4
19621001,46.0,73.0,48.4,69.0
19621002,48.0,73.0,48.1,68.6
19621003,50.0,73.0,47.9,68.1
19621004,42.0,63.0,47.6,67.7
19621005,38.0,61.0,47.4,67.2
19621006,39.0,61.0,47.1,66.8
19621007,42.0,60.0,46.9,66.3
19621008,48.0,53.0,46.6,65.9
19621009,50.0,56.0,46.4,65.4
19621010,46.0,60.0,46.1,65.0
19621011,47.0,55.0,45.9,64.5
19621012,46.0,57.0,45.6,64.1
19621013,45.0,60.0,45.4,63.6
19621014,48.0,64.0,45.1,63.2
19621015,45.0,60.0,44.9,62.8
19621016,36.0,59.0,44.7,62.3
19621017,36.0,60.0,44.4,61.9
19621018,42.0,63.0,44.2,61.5
19621019,42.0,59.0,44.0,61.1
19621020,43.0,59.0,43.8,60.6
19621021,45.0,61.0,43.6,60.2
19621022,43.0,65.0,43.4,59.8
19621023,44.0,65.0,43.2,59.4
19621024,43.0,67.0,43.0,59.1
19621025,46.0,63.0,42.8,58.7
19621026,51.0,55.0,42.6,58.3
19621027,46.0,60.0,42.4,57.9
19621028,47.0,61.0,42.2,57.6
19621029,42.0,58.0,42.0,57.2
19621030,40.0,65.0,41.8,56.9
19621031,48.0,55.0,41.6,56.5
19621101,45.0,66.0,41.5,56.2
19621102,44.0,66.0,41.3,55.9
19621103,42.0,65.0,41.1,55.6
