date,precipitation,precipitation_normal
19501206,0.72,30.73
19501207,0.88,30.95
19501208,1.08,31.17
19501209,1.16,31.38
19501210,1.24,31.60
19501211,1.53,31.81
19501212,1.57,32.03
19501213,1.57,32.24
19501214,1.88,32.46
19501215,1.92,32.69
19501216,1.96,32.91
19501217,2.09,33.14
19501218,2.10,33.37
19501219,2.15,33.60
19501220,2.16,33.83
19501221,2.17,34.05
19501222,2.19,34.28
19501223,2.19,34.49
19501224,2.22,34.71
19501225,2.22,34.92
19501226,2.25,35.13
19501227,2.28,35.35
19501228,2.47,35.56
19501229,2.62,35.76
19501230,2.78,35.97
19501231,3.25,36.17
19510101,0.03,0.19
19510102,0.10,0.39
19510103,0.70,0.58
19510104,1.07,0.78
19510105,1.10,0.98
19510106,1.11,1.17
19510107,1.12,1.37
19510108,1.20,1.57
19510109,1.25,1.77
19510110,1.31,1.97
19510111,1.71,2.16
19510112,1.91,2.35
19510113,2.02,2.54
19510114,2.17,2.72
19510115,2.54,2.90
19510116,2.83,3.07
19510117,3.69,3.24
19510118,4.64,3.41
19510119,5.73,3.58
19510120,5.84,3.74
19510121,6.27,3.91
19510122,6.48,4.08
19510123,6.80,4.24
19510124,7.13,4.40
19510125,7.14,4.55
19510126,7.30,4.70
19510127,7.30,4.85
19510128,7.31,5.00
19510129,7.31,5.13
19510130,7.31,5.27
19510131,7.31,5.41
19510201,7.31,5.56
19510202,7.32,5.71
19510203,7.35,5.86
19510204,8.90,6.00
19510205,9.64,6.15
19510206,10.00,6.29
19510207,10.34,6.44
19510208,10.58,6.59
19510209,10.59,6.73
19510210,10.59,6.87
19510211,11.14,7.01
19510212,11.41,7.15
19510213,11.42,7.29
19510214,11.42,7.44
19510215,11.44,7.58
19510216,11.54,7.73
19510217,11.54,7.87
19510218,11.87,8.02
19510219,11.90,8.17
19510220,12.09,8.32
19510221,12.32,8.47
19510222,12.33,8.61
19510223,12.33,8.76
19510224,12.33,8.91
19510225,12.44,9.05
19510226,12.50,9.20
19510227,12.50,9.35
19510228,12.50,9.50
19510301,12.55,9.64
19510302,12.60,9.78
19510303,12.60,9.92
19510304,13.05,10.06
19510305,13.37,10.19
19510306,14.20,10.32
19510307,14.63,10.45
19510308,14.81,10.58
19510309,15.28,10.71
19510310,15.45,10.84
19510311,15.45,10.97
19510312,15.45,11.10
19510313,15.49,11.23
19510314,15.49,11.35
19510315,15.56,11.48
19510316,15.64,11.61
19510317,15.64,11.74
19510318,15.64,11.87
19510319,15.64,12.00
19510320,15.64,12.12
19510321,15.66,12.25
19510322,15.68,12.37
19510323,15.68,12.50
19510324,15.68,12.62
19510325,15.68,12.75
19510326,15.68,12.88
19510327,15.68,13.00
19510328,15.68,13.13
19510329,15.68,13.26
19510330,15.83,13.38
19510331,15.89,13.51
19510401,15.89,13.64
19510402,15.89,13.76
19510403,15.89,13.89
19510404,15.89,14.03
19510405,15.89,14.16
19510406,15.89,14.28
19510407,15.89,14.41
19510408,15.89,14.53
19510409,15.89,14.65
19510410,15.89,14.78
19510411,15.89,14.90
19510412,15.89,15.02
19510413,15.89,15.13
19510414,15.89,15.24
19510415,15.89,15.35
19510416,15.89,15.46
19510417,15.89,15.56
19510418,15.89,15.67
19510419,15.89,15.77
19510420,15.89,15.87
19510421,15.89,15.97
19510422,15.89,16.07
19510423,15.89,16.16
19510424,15.89,16.25
19510425,15.89,16.34
19510426,15.89,16.42
19510427,15.89,16.51
19510428,16.34,16.59
19510429,17.14,16.67
19510430,17.37,16.75
19510501,17.71,16.82
19510502,17.74,16.89
19510503,18.11,16.96
19510504,18.33,17.04
19510505,18.55,17.11
19510506,18.57,17.18
19510507,18.57,17.25
19510508,18.57,17.32
19510509,18.57,17.39
19510510,18.57,17.46
19510511,18.76,17.52
19510512,18.87,17.59
19510513,19.08,17.66
