date,min,max,normal_min,normal_max
19891001,47.0,61.0,45.5,75.2
19891002,51.0,63.0,45.3,74.8
19891003,38.0,68.0,45.1,74.3
19891004,36.0,70.0,44.8,73.8
19891005,37.0,71.0,44.6,73.4
19891006,41.0,73.0,44.4,72.9
19891007,,,44.2,72.4
19891008,44.0,75.0,44.0,71.9
19891009,45.0,79.0,43.8,71.4
19891010,45.0,79.0,43.6,70.9
19891011,,,43.4,70.4
19891012,42.0,70.0,43.2,69.9
19891013,42.0,70.0,43.0,69.4
19891014,45.0,68.0,42.8,68.9
19891015,34.0,64.0,42.6,68.4
19891016,,,42.4,67.9
19891017,36.0,72.0,42.3,67.4
19891018,37.0,77.0,42.1,66.9
19891019,45.0,68.0,41.9,66.4
19891020,52.0,66.0,41.8,66.0
19891021,52.0,66.0,41.6,65.5
19891022,51.0,59.0,41.5,65.0
19891023,51.0,64.0,41.3,64.5
19891024,44.0,57.0,41.2,64.1
19891025,40.0,54.0,41.0,63.6
19891026,41.0,60.0,40.9,63.2
19891027,40.0,56.0,40.8,62.7
19891028,40.0,53.0,40.6,62.3
19891029,33.0,50.0,40.5,61.8
19891030,34.0,53.0,40.4,61.4
19891031,34.0,56.0,40.3,61.0
19891101,35.0,54.0,40.2,60.6
19891102,33.0,53.0,40.0,60.2
19891103,35.0,57.0,39.9,59.8
19891104,37.0,60.0,39.8,59.4
19891105,41.0,51.0,39.7,59.0
19891106,41.0,57.0,39.6,58.6
19891107,41.0,54.0,39.5,58.2
19891108,42.0,56.0,39.4,57.9
19891109,42.0,63.0,39.2,57.5
19891110,43.0,67.0,39.1,57.2
19891111,43.0,55.0,39.0,56.8
19891112,43.0,56.0,38.9,56.5
19891113,37.0,56.0,38.8,56.1
19891114,39.0,54.0,38.7,55.8
19891115,36.0,50.0,38.5,55.5
19891116,35.0,52.0,38.4,55.1
19891117,36.0,45.0,38.3,54.8
19891118,44.0,55.0,38.1,54.5
19891119,39.0,65.0,38.0,54.2
19891120,37.0,61.0,37.9,53.9
19891121,37.0,60.0,37.7,53.6
19891122,42.0,54.0,37.6,53.3
19891123,38.0,56.0,37.5,53.0
19891124,39.0,52.0,37.3,52.7
19891125,41.0,61.0,37.2,52.5
19891126,39.0,47.0,37.0,52.2
19891127,39.0,50.0,36.9,51.9
19891128,29.0,55.0,36.7,51.7
19891129,30.0,55.0,36.6,51.4
19891130,30.0,44.0,36.4,51.2
19891201,34.0,52.0,36.3,50.9
19891202,34.0,55.0,36.2,50.7
19891203,36.0,56.0,36.0,50.5
19891204,43.0,52.0,35.9,50.3
19891205,49.0,65.0,35.7,50.1
19891206,43.0,57.0,35.6,49.9
19891207,35.0,53.0,35.5,49.7
19891208,36.0,55.0,35.4,49.5
19891209,40.0,56.0,35.2,49.4
19891210,34.0,46.0,35.1,49.2
19891211,34.0,40.0,35.0,49.0
19891212,28.0,39.0,34.9,48.9
19891213,29.0,47.0,34.8,48.8
19891214,32.0,36.0,34.7,48.7
19891215,32.0,38.0,34.6,48.6
19891216,32.0,36.0,34.5,48.5
19891217,32.0,36.0,34.5,48.4
19891218,31.0,36.0,34.4,48.3
19891219,34.0,39.0,34.3,48.3
19891220,28.0,47.0,34.3,48.2
19891221,30.0,41.0,34.3,48.2
19891222,30.0,48.0,34.2,48.2
19891223,30.0,42.0,34.2,48.1
19891224,33.0,58.0,34.2,48.1
19891225,36.0,44.0,34.1,48.1
19891226,33.0,42.0,34.1,48.1
19891227,28.0,45.0,34.1,48.2
19891228,30.0,38.0,34.1,48.2
19891229,33.0,37.0,34.1,48.2
19891230,,,34.1,48.3
19891231,,,34.2,48.3
19900101,32.0,51.0,34.2,48.4
19900102,32.0,42.0,34.2,48.5
19900103,33.0,43.0,34.2,48.6
19900104,34.0,49.0,34.3,48.6
19900105,38.0,45.0,34.3,48.7
19900106,42.0,53.0,34.3,48.8
19900107,45.0,57.0,34.4,48.9
19900108,46.0,59.0,34.4,49.0
19900109,46.0,58.0,34.5,49.1
19900110,42.0,63.0,34.5,49.2
19900111,42.0,45.0,34.6,49.3
19900112,42.0,50.0,34.6,49.5
19900113,42.0,46.0,34.6,49.6
19900114,39.0,52.0,34.7,49.7
19900115,38.0,47.0,34.7,49.8
19900116,38.0,47.0,34.8,49.9
19900117,36.0,49.0,34.8,50.1
19900118,30.0,42.0,34.8,50.2
19900119,28.0,43.0,34.9,50.3
19900120,27.0,44.0,34.9,50.4
19900121,27.0,42.0,34.9,50.6
19900122,28.0,51.0,34.9,50.7
19900123,40.0,55.0,35.0,50.8
19900124,30.0,50.0,35.0,50.9
19900125,32.0,42.0,35.0,51.1
19900126,34.0,55.0,35.0,51.2
19900127,33.0,45.0,35.0,51.3
19900128,35.0,47.0,35.0,51.5
19900129,40.0,53.0,35.0,51.6
19900130,36.0,49.0,35.0,51.7
19900131,34.0,45.0,35.0,51.9
19900201,35.0,40.0,35.1,52.0
19900202,38.0,45.0,35.1,52.1
19900203,38.0,54.0,35.1,52.3
19900204,34.0,51.0,35.1,52.4
19900205,34.0,48.0,35.1,52.6
19900206,32.0,48.0,35.1,52.7
19900207,30.0,40.0,35.1,52.9
19900208,32.0,41.0,35.1,53.0
19900209,39.0,49.0,35.1,53.2
19900210,42.0,55.0,35.1,53.4
19900211,36.0,60.0,35.1,53.5
19900212,28.0,49.0,35.1,53.7
19900213,27.0,49.0,35.1,53.9
19900214,18.0,43.0,35.1,54.0
19900215,21.0,36.0,35.1,54.2
19900216,30.0,42.0,35.1,54.4
19900217,31.0,43.0,35.2,54.6
19900218,31.0,44.0,35.2,54.8
19900219,25.0,46.0,35.2,54.9
19900220,25.0,53.0,35.3,55.1
19900221,38.0,51.0,35.3,55.3
19900222,38.0,61.0,35.3,55.5
19900223,34.0,60.0,35.4,55.7
19900224,35.0,57.0,35.4,55.9
19900225,36.0,60.0,35.5,56.1
19900226,36.0,53.0,35.5,56.3
19900227,36.0,50.0,35.6,56.5
19900228,35.0,51.0,35.6,56.7
19900301,35.0,65.0,35.7,56.8
19900302,39.0,59.0,35.8,57.0
19900303,43.0,59.0,35.8,57.2
19900304,43.0,59.0,35.9,57.4
19900305,35.0,52.0,36.0,57.6
19900306,38.0,54.0,36.0,57.8
19900307,43.0,60.0,36.1,57.9
19900308,32.0,56.0,36.2,58.1
19900309,34.0,53.0,36.2,58.3
19900310,38.0,55.0,36.3,58.4
