date,min,max,normal_min,normal_max
19110311,33.0,59.0,36.6,59.0
19110312,25.0,65.0,36.7,59.1
19110313,24.0,70.0,36.9,59.2
19110314,25.0,74.0,37.0,59.3
19110315,27.0,72.0,37.1,59.4
19110316,21.0,71.0,37.3,59.5
19110317,21.0,72.0,37.4,59.6
19110318,31.0,72.0,37.5,59.7
19110319,30.0,77.0,37.6,59.8
19110320,32.0,75.0,37.8,59.9
19110321,32.0,72.0,37.9,60.0
19110322,35.0,80.0,38.0,60.1
19110323,45.0,66.0,38.1,60.2
19110324,42.0,66.0,38.2,60.3
19110325,34.0,64.0,38.3,60.4
19110326,30.0,65.0,38.4,60.5
19110327,31.0,70.0,38.5,60.6
19110328,31.0,78.0,38.6,60.7
19110329,36.0,84.0,38.7,60.8
19110330,36.0,86.0,38.8,60.9
19110331,40.0,86.0,38.9,61.0
19110401,41.0,79.0,39.0,61.2
19110402,34.0,67.0,39.1,61.3
19110403,35.0,56.0,39.2,61.5
19110404,37.0,54.0,39.4,61.6
19110405,35.0,58.0,39.5,61.8
19110406,40.0,62.0,39.6,62.0
19110407,30.0,70.0,39.7,62.2
19110408,35.0,68.0,39.8,62.4
19110409,36.0,57.0,39.9,62.6
19110410,36.0,56.0,40.0,62.8
19110411,32.0,47.0,40.2,63.1
19110412,40.0,48.0,40.3,63.3
19110413,28.0,57.0,40.4,63.6
19110414,25.0,67.0,40.6,63.8
19110415,25.0,74.0,40.7,64.1
19110416,41.0,68.0,40.9,64.4
19110417,30.0,72.0,41.1,64.7
19110418,40.0,59.0,41.2,65.0
19110419,30.0,62.0,41.4,65.3
19110420,30.0,76.0,41.6,65.7
19110421,38.0,73.0,41.7,66.0
19110422,35.0,76.0,41.9,66.3
19110423,37.0,83.0,42.1,66.7
19110424,40.0,85.0,42.3,67.0
19110425,31.0,66.0,42.5,67.4
19110426,44.0,54.0,42.7,67.7
19110427,40.0,56.0,42.9,68.1
19110428,38.0,62.0,43.1,68.5
19110429,28.0,71.0,43.4,68.8
19110430,26.0,74.0,43.6,69.2
19110501,44.0,61.0,43.8,69.5
19110502,50.0,65.0,44.0,69.9
19110503,45.0,65.0,44.2,70.2
19110504,41.0,76.0,44.5,70.6
19110505,38.0,57.0,44.7,70.9
19110506,31.0,67.0,44.9,71.3
19110507,40.0,68.0,45.1,71.6
19110508,36.0,56.0,45.4,71.9
19110509,40.0,64.0,45.6,72.2
19110510,33.0,70.0,45.8,72.5
19110511,34.0,78.0,46.0,72.8
19110512,48.0,62.0,46.2,73.1
19110513,40.0,62.0,46.4,73.4
19110514,38.0,67.0,46.6,73.7
19110515,34.0,71.0,46.8,74.0
19110516,40.0,60.0,47.0,74.2
19110517,43.0,64.0,47.2,74.4
19110518,42.0,58.0,47.4,74.7
19110519,33.0,67.0,47.6,74.9
19110520,36.0,84.0,47.8,75.1
19110521,44.0,84.0,48.0,75.3
19110522,45.0,81.0,48.1,75.6
19110523,37.0,57.0,48.3,75.8
19110524,40.0,58.0,48.5,76.0
19110525,41.0,68.0,48.6,76.2
19110526,42.0,70.0,48.8,76.3
19110527,35.0,76.0,49.0,76.5
19110528,38.0,86.0,49.1,76.7
19110529,44.0,88.0,49.3,76.9
19110530,45.0,90.0,49.4,77.1
19110531,52.0,87.0,49.6,77.3
19110601,48.0,82.0,49.7,77.5
19110602,42.0,79.0,49.9,77.7
19110603,48.0,78.0,50.0,77.9
19110604,38.0,78.0,50.2,78.1
19110605,39.0,84.0,50.3,78.3
19110606,40.0,79.0,50.5,78.5
19110607,56.0,78.0,50.6,78.8
19110608,39.0,78.0,50.8,79.0
19110609,40.0,87.0,50.9,79.2
19110610,46.0,98.0,51.1,79.5
19110611,55.0,94.0,51.3,79.8
19110612,56.0,90.0,51.5,80.1
19110613,53.0,89.0,51.6,80.3
19110614,52.0,87.0,51.8,80.6
19110615,45.0,86.0,52.0,81.0
19110616,45.0,86.0,52.2,81.3
19110617,47.0,84.0,52.4,81.6
19110618,44.0,84.0,52.6,82.0
19110619,44.0,87.0,52.8,82.3
19110620,43.0,84.0,53.1,82.7
19110621,46.0,78.0,53.3,83.1
19110622,50.0,71.0,53.5,83.5
19110623,50.0,68.0,53.7,83.9
19110624,47.0,76.0,54.0,84.3
19110625,48.0,81.0,54.2,84.7
19110626,50.0,79.0,54.5,85.1
19110627,56.0,77.0,54.7,85.5
19110628,48.0,77.0,55.0,85.9
19110629,51.0,69.0,55.2,86.3
19110630,46.0,70.0,55.5,86.7
19110701,40.0,84.0,55.7,87.2
19110702,47.0,90.0,56.0,87.6
19110703,52.0,89.0,56.2,88.0
19110704,55.0,96.0,56.5,88.4
19110705,56.0,102.0,56.7,88.8
19110706,56.0,100.0,57.0,89.2
19110707,44.0,76.0,57.2,89.6
19110708,41.0,86.0,57.5,89.9
19110709,44.0,90.0,57.7,90.3
19110710,46.0,93.0,57.9,90.6
19110711,50.0,97.0,58.1,90.9
19110712,56.0,102.0,58.3,91.3
19110713,60.0,101.0,58.5,91.6
19110714,60.0,104.0,58.7,91.8
19110715,60.0,106.0,58.9,92.1
19110716,67.0,110.0,59.0,92.3
19110717,67.0,106.0,59.2,92.6
19110718,58.0,102.0,59.3,92.8
19110719,58.0,98.0,59.5,92.9
19110720,52.0,95.0,59.6,93.1
19110721,52.0,91.0,59.7,93.2
19110722,47.0,94.0,59.8,93.4
19110723,47.0,104.0,59.8,93.5
19110724,62.0,102.0,59.9,93.5
19110725,64.0,96.0,59.9,93.6
19110726,57.0,96.0,60.0,93.6
19110727,50.0,98.0,60.0,93.6
19110728,55.0,101.0,60.0,93.6
19110729,60.0,99.0,60.0,93.6
19110730,50.0,95.0,60.0,93.6
19110731,50.0,94.0,60.0,93.5
19110801,51.0,85.0,59.9,93.5
19110802,46.0,88.0,59.9,93.4
19110803,52.0,90.0,59.8,93.3
19110804,50.0,90.0,59.7,93.2
19110805,50.0,90.0,59.6,93.1
19110806,52.0,89.0,59.5,92.9
19110807,52.0,90.0,59.4,92.8
19110808,48.0,88.0,59.3,92.6
19110809,48.0,88.0,59.2,92.5
19110810,48.0,87.0,59.0,92.3
19110811,46.0,88.0,58.9,92.1
19110812,47.0,90.0,58.7,91.9
19110813,50.0,88.0,58.6,91.8
19110814,52.0,85.0,58.4,91.6
19110815,48.0,82.0,58.3,91.4
19110816,46.0,87.0,58.1,91.2
19110817,50.0,87.0,57.9,91.0
19110818,50.0,90.0,57.7,90.8
19110819,49.0,80.0,57.6,90.6
19110820,44.0,85.0,57.4,90.4
19110821,44.0,94.0,57.2,90.2
19110822,49.0,97.0,57.0,90.0
19110823,50.0,97.0,56.8,89.8
19110824,47.0,97.0,56.6,89.6
19110825,50.0,95.0,56.4,89.4
19110826,48.0,93.0,56.2,89.3
19110827,50.0,92.0,56.0,89.1
19110828,50.0,90.0,55.8,88.9
19110829,50.0,94.0,55.6,88.7
19110830,50.0,97.0,55.4,88.5
19110831,54.0,96.0,55.2,88.3
