stratification,kappa,estimators,learning_rate,max_depth,time_(s)
none,0.4534,400,0.01,3,7.6
none,0.4648,200,0.01,3,3.7
none,0.4933,30,0.1,2,0.43
none,0.4962,400,0.01,2,5.47
skf,0.3977,800,0.001,3,15.02
skf,0.4181,100,0.01,3,2
skf,0.4288,30,0.05,2,0.43
skf,0.4526,200,0.01,2,1.69
stratify,0.5178,30,0.1,2,0.5
stratify,0.5239,400,0.01,2,5.61
stratify,0.53,200,0.01,3,3.77
st_skf,0.5166,200,0.01,3,3.75
st_skf,0.5284,400,0.01,3,7.31
st_skf,0.5308,400,0.01,3,7.32
st_skf,0.5528,30,0.05,2,0.42
