OvO,AUC-score
3 v. 4,0.9090909090909091
4 v. 3,0.6363636363636364
3 v. 5,0.9345238095238095
5 v. 3,0.49404761904761907
3 v. 6,0.9391025641025641
6 v. 3,0.7724358974358975
3 v. 7,0.9850746268656717
7 v. 3,0.9925373134328358
3 v. 8,1.0
8 v. 3,0.9375
4 v. 5,0.707521645021645
5 v. 4,0.5240800865800866
4 v. 6,0.8484848484848485
6 v. 4,0.8455710955710956
4 v. 7,0.9199457259158751
7 v. 4,0.8792401628222524
4 v. 8,0.9659090909090909
8 v. 4,0.8636363636363636
5 v. 6,0.8046016483516484
6 v. 5,0.7820131257631258
5 v. 7,0.9239516702203269
7 v. 5,0.9193319118692254
5 v. 8,0.9360119047619048
8 v. 5,0.9159226190476191
6 v. 7,0.5576444699579028
7 v. 6,0.7546402602372752
6 v. 8,0.5921474358974359
8 v. 6,0.7900641025641025
7 v. 8,0.48787313432835816
8 v. 7,0.519589552238806
