OvO,AUC-score
3 v. 4,0.4883720930232558
4 v. 3,0.5155038759689923
3 v. 5,0.5782710280373832
5 v. 3,0.47663551401869153
3 v. 6,0.5170487948265726
6 v. 3,0.9174015285126396
3 v. 7,0.595679012345679
7 v. 3,0.8641975308641976
3 v. 8,0.6153846153846154
8 v. 3,0.9188034188034189
3 v. 9,0.3333333333333333
9 v. 3,0.8333333333333334
4 v. 5,0.7702129971745273
5 v. 4,0.6503477504890242
4 v. 6,0.8374964111398221
6 v. 4,0.8211722242729995
4 v. 7,0.8970714900947458
7 v. 4,0.9368001722652884
4 v. 8,0.9206917113893858
8 v. 4,0.8980322003577818
4 v. 9,0.9069767441860465
9 v. 4,0.8604651162790697
5 v. 6,0.8429675781700704
6 v. 5,0.8112380293065652
5 v. 7,0.9401068708895811
7 v. 5,0.9566891658013154
5 v. 8,0.9672897196261683
8 v. 5,0.9336808051761323
5 v. 9,0.9789719626168224
9 v. 5,0.8621495327102804
6 v. 7,0.7720213599843229
7 v. 6,0.8627849630936051
6 v. 8,0.8721114276669832
8 v. 6,0.8453398453398454
6 v. 9,0.3474426807760141
9 v. 6,0.8201058201058201
7 v. 8,0.6984805318138652
8 v. 7,0.7701804368471035
7 v. 9,0.7685185185185185
9 v. 7,0.875
8 v. 9,0.6666666666666666
9 v. 8,0.8717948717948718
