OvO,AUC-score
3 v. 4,0.34108527131782945
4 v. 3,0.5
3 v. 5,0.375
5 v. 3,0.41627725856697817
3 v. 6,0.34538506760728976
6 v. 3,0.9282774838330394
3 v. 7,0.396604938271605
7 v. 3,0.8973765432098766
3 v. 8,0.452991452991453
8 v. 3,0.9487179487179487
3 v. 9,0.16666666666666666
9 v. 3,0.8333333333333334
4 v. 5,0.7400565094544664
5 v. 4,0.6086176918061291
4 v. 6,0.8326565768426234
6 v. 4,0.8189573848488576
4 v. 7,0.8984711455641688
7 v. 4,0.9447674418604651
4 v. 8,0.9111508646392368
8 v. 4,0.9183064997018486
4 v. 9,0.9302325581395349
9 v. 4,0.7906976744186046
5 v. 6,0.81221464009626
6 v. 5,0.7706036031581204
5 v. 7,0.9389710972654899
7 v. 5,0.9526220145379024
5 v. 8,0.9624370956146657
8 v. 5,0.9431464174454829
5 v. 9,0.9906542056074766
9 v. 5,0.7172897196261682
6 v. 7,0.7221895616957346
7 v. 6,0.8324759945130316
6 v. 8,0.8433500655722878
8 v. 6,0.8556957445846334
6 v. 9,0.5608465608465608
9 v. 6,0.5890652557319225
7 v. 8,0.6355650522317189
8 v. 7,0.75664767331434
7 v. 9,0.6712962962962963
9 v. 7,0.6944444444444444
8 v. 9,0.5641025641025641
9 v. 8,0.7692307692307692
