OvO,AUC-score
3 v. 4,0.6287878787878788
4 v. 3,0.49242424242424243
3 v. 5,0.5902061855670103
5 v. 3,0.6898625429553266
3 v. 6,0.4755681818181818
6 v. 3,0.7494318181818183
3 v. 7,0.5696022727272727
7 v. 3,0.9105113636363636
3 v. 8,0.7285714285714285
8 v. 3,0.9571428571428571
3 v. 9,0.5
9 v. 3,0.5
4 v. 5,0.8019368947203998
5 v. 4,0.6628137040508175
4 v. 6,0.8082644628099174
6 v. 4,0.8459366391184573
4 v. 7,0.8316115702479339
7 v. 4,0.934400826446281
4 v. 8,0.8796536796536797
8 v. 4,0.9333333333333333
4 v. 9,1.0
9 v. 4,0.4242424242424242
5 v. 6,0.8378709778194315
6 v. 5,0.8051858794126836
5 v. 7,0.9232661668228678
7 v. 5,0.9378514526710403
5 v. 8,0.9581737849779087
8 v. 5,0.9571919489445263
5 v. 9,0.9759450171821306
9 v. 5,0.4776632302405498
6 v. 7,0.7511621900826445
7 v. 6,0.8512913223140496
6 v. 8,0.853181818181818
8 v. 6,0.9112337662337663
6 v. 9,0.9454545454545454
9 v. 6,0.32499999999999996
7 v. 8,0.812012987012987
8 v. 7,0.8553571428571428
7 v. 9,0.3125
9 v. 7,0.375
8 v. 9,0.6285714285714286
9 v. 8,0.6857142857142857
